pop, ms ,plot,line,y1,y2,x1,x2,tag,notes,id,class.2013,ros1.2013,ros2.2013,fruits.2013,flowers.2013,class.2014,ros1.2014,ros2.2014,fruits.2014,flowers.2014,notes.2014,class.2015,ros1.2015,ros2.2015,fruits.2015,flowers.2015,notes.2015,class.2016,ros1.2016,ros2.2016,fruits.2016,flowers.2016,notes.2016, found.yr 
B46,S,1,1,16.33,,-0.3,,,,135,A,2.5,2.5,1,1,A,3,4,,4,,A,3.5,3,1,1,,J,6,3.5,,,SAME PL,2013
B46,S,1,1,16.33,,-0.26,,,,136,J,2,1.5,,,A,3,1,,2,,A,2.5,1.5,1,1,,,,,,,SAME PL,2013
B46,S,1,1,16.47,,-0.07,,,,137,A,1.5,3.5,1,1,A,3,3,,3,,J,3,4,,,,J,6,5,,,,2013
B46,S,1,1,16.89,,-0.5,,,poss. (-x),138,A,2.5,1.5,1,1,A,2,3,,3,,A,3,3.5,5,6,,D,,,,,,2013
B46,S,1,1,16.94,,-0.37,,,,139,A,4,5,3,9,D,,,,,,D,,,,,,J,0.5,0.5,,,,2013
B46,S,1,1,16.92,,-0.33,,,,140,A,1.5,1.5,1,1,D,3,3,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,17.07,,-0.38,,N,South of plant,141,J,1,1,,,A,1,1,,1,,J,1.5,1,,,,J,6,4.5,,,SAME PL,2013
B46,S,1,1,17.11,,-0.43,,,,142,J,1.5,1,,,A,1,2,,1,,J,1.5,2,,,,D,,,,,SAME PL,2013
B46,S,1,1,17.12,,-0.39,,,,143,A,3,2,,1,A,3,1,,1,,J,1.5,1.5,,,,,,,,,SAME PL,2013
B46,S,1,1,17.75,,-1.1,,,,144,A,3,2,3,3,A,3,4,,4,,A,2.5,3.5,1,1,,A,5.5,4,3,3,,2013
B46,S,1,1,17.97,,-0.34,,,,145,A,1.5,1.5,1,1,D,1,1,,,,D,,,,,,D,,,,,,2013
B46,S,1,1,18.25,,-0.87,,,,146,A,1.5,1.5,1,1,A,1,2,,2,,A,4,3.5,5,5,,D,,,,,,2013
B46,S,1,1,18.25,,-0.27,,,,147,A,3,3,1,1,A,4,3,,3,,A,4,3.5,10,10,,J,4,2.5,,,,2013
B46,S,1,1,18.75,,-0.19,,,,148,A,2.5,1.5,1,2,A,3,2,,3,,J,3.5,2.5,,,,J,0.5,0.5,,,,2013
B46,S,1,1,18.88,,-0.17,,,,149,A,3,1.5,1,1,A,3,3,,3,,A,3.5,3,1,2,,J,4,2.5,,,,2013
B46,S,1,1,19.18,,-0.26,,,,150,A,5,6,5,5,A,4,4,,6,,J,2.5,1.5,,,,J,2,1.5,,,,2013
B46,S,1,1,19.35,,-0.26,,,,151,A,4,3,4,4,J,0.5,0.5,,,,J,0.5,0.5,,,,D,,,,,,2013
B46,S,1,1,19.52,,-0.06,,,,152,A,3.5,3.5,4,6,D,,,,,,D,,,,,,D,,,,,,2013
